coc_number,year,city,top_25,population,total_beds_per_1000_pop,total_homeless_per_1000_pop,unsheltered_per_1000_pop,esp_per_1000_pop,thp_per_1000_pop,rrh_per_1000_pop,psh_per_1000_pop
PA-500,2007,Philadelphia CoC,x,1493309,8.88,5.11,0.29,2.06,2.82,2.82,3.99
PA-500,2008,Philadelphia CoC,x,1499731,8.36,4.58,0.3,2.21,2.53,2.53,3.61
PA-500,2009,Philadelphia CoC,x,1514694,6.81,4.16,0.33,2.47,1.71,1.71,2.63
PA-500,2010,Philadelphia CoC,x,1528458,6.73,3.98,0.31,2.46,1.52,1.52,2.75
PA-500,2011,Philadelphia CoC,x,1538567,6.99,4.01,0.32,2.42,1.49,1.49,3.07
PA-500,2012,Philadelphia CoC,x,1547607,6.79,3.73,0.32,2.18,1.48,1.48,3.12
PA-500,2013,Philadelphia CoC,x,1556700.11,7.39,3.62,0.33,2.2,1.28,1.28,3.47
TX-700,2007,City of Houston,x,2044612,2.76,5.06,2.61,0.76,1.31,1.31,0.68
TX-700,2008,City of Houston,x,2060477,2.73,5.02,2.59,0.67,1.12,1.12,0.92
TX-700,2009,City of Houston,x,2087334,2.76,3.62,1.01,0.58,1.45,1.45,0.73
TX-700,2010,City of Houston,x,2102680,2.75,3.02,1,0.66,1.27,1.27,0.82
TX-700,2011,City of Houston,x,2126196,3.6,3.98,2.07,0.64,1.54,1.54,1.41
TX-700,2012,City of Houston,x,2160821,3.4,3.32,1.76,0.55,1.43,1.43,1.41
TX-700,2013,City of Houston,x,2196009.86,3.31,2.89,1.35,0.57,1.16,1.16,1.47
WA-500,2007,Seattle,x,1847986,5.23,4.27,1.2,1.46,2.26,2.26,1.5
WA-500,2008,Seattle,x,1875020,5.01,4.53,1.43,1.28,2.18,2.18,1.55
WA-500,2009,Seattle,x,1912012,5.13,4.68,1.49,1.26,2.25,2.25,1.61
WA-500,2010,Seattle,x,1937485,5.19,4.65,1.44,1.28,2.16,2.16,1.74
WA-500,2011,Seattle,x,1971313,5.51,4.55,1.26,1.26,2.18,2.18,2.05
WA-500,2012,Seattle,x,2007574,5.43,4.43,1.3,1.29,2.04,2.04,2.1
WA-500,2013,Seattle,x,2044449,5.46,4.45,1.33,1.29,2.01,2.01,2.13
